class,clean_text
0,slow moving aimless movie distressed drifting young man
0,not sure lost flat characters audience nearly half walked
0,attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost non existent
0,little music anything speak
1,best scene movie gerardo trying find song keeps running head
0,rest movie lacks art charm meaning emptiness works guess empty
0,wasted two hours
1,saw movie today thought good effort good messages kids
0,bit predictable
1,loved casting jimmy buffet science teacher
1,baby owls adorable
1,movie showed lot florida best made look appealing
1,songs best muppets hilarious
1,cool
1,right case movie delivers everything almost right face
0,average acting main person low budget clearly see
1,review long overdue since consider tale two sisters single greatest film ever made
1,put gem movie terms screenplay cinematography acting post production editing directing aspect film making
1,practically perfect true masterpiece sea faux masterpieces
0,structure film easily tightly constructed history cinema think no film something vitally important occurs every minute words content level film enough easily fill dozen films anyone right mind ask anything movie quite simply highest superlative form cinema imaginable yes film require rather significant amount puzzle solving pieces fit together create beautiful picture short film certainly pulls no punches graphics far best part game number one best th game series deserves strong love insane game massive levels massive unlockable characters massive game waste money game kind money wasted properly actually graphics good time today graphics crap say canada fun game aye game rocks buy play enjoy love pure brilliance flick doomed conception idea lame take minor character mediocre film make complete non sequel changing tone pg rated family movie not least bit interested not confirm film would unfunny generic also managed give away entire movie not exaggerating every moment every plot point every joke told trailer not funny even talented carrell not save co stars not fare much better people like morgan freeman jonah hill ed helms wasted story predictable lazy real effects work presence animals integration scenes worst obvious blue green screen work ever seen whatever cost much not translate quality sure film succeeds despite perhaps obviously meagre budget glad film not go obvious choice lesser film certainly would addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen hard not fall head heels love girl negative insipid enough cause regret another hours life wasted front screen long whiny pointless recommend waiting future efforts let one go excellent cast story line performances totally believable anne heche utterly convincing sam shepard portrayal gung ho marine sobering sat riveted tv screen give one resounding think tom hanks good actor enjoyed reading book children little disappointed movie one character totally annoying voice gives feeling fingernails chalkboard totally unnecessary train roller coaster scene absolutely no warmth charm scenes characters movie totally grates nerves performances not improved improvisation actors twice much worry not whether delivering line well whether line good quite honestly often not good often dialogue not really follow one line another fit surroundings crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly generally great things would not say worth hours time though suspense builders good cross line g pg especially liked non cliche choices parents movies could predict dialog verbatim writing movie made better selections want movie not gross gives chills great choice alexander nevsky great film amazing film artist one important whoever lived glad pretentious piece not planned dodge stratus big shots gonna help movie makers not restrained movie business qu bec
1,first movie given years
1,ever movie needed word mouth promote
1,overall film interesting thought provoking
1,plus well paced suited relatively short run time
1,give one look
1,gave
1,wind lion well written superbly acted
1,true classic
1,actually turned pretty decent far b list horror suspense films go
1,definitely worth checking
0,problem script
0,horrendous
0,nothing believable
0,suspense feeling frustration retarded girls
1,manna heaven terrific film predictable unpredictable time
1,scenes often funny occasionally touching characters evaluate lives going
1,cast veteran actors nostalgia trip
1,ursula burton portrayal nun touching funny time making fun nuns church
1,looking movie terrific cast good music including shirley jones rendition way look tonight uplifting ending give one try
1,not think disappointed
0,frankly cotton club unfaithful kind embarrassing watch lane gere film bad
0,acting bad dialogs extremely shallow insincere
0,predictable even chick flick
0,politically correct
0,disappointing
1,thing really worth watching scenery house beautiful
0,love lane never seen movie lousy
0,hour half wish could bring back
1,terms writing fresh bold
1,acting helps writing along well maybe idiot savant sister could played better real joy watch
0,directing cinematography not quite good
